jaw;larynx;lip;F1;F2;ScaledF1;ScaledF2;Note;
4.0;110.0;R;173;683;216,5703704;855,0148148;N/a;
4.0;105.0;R;179;685;224,0814815;857,5185185;N/a;
4.0;100.0;R;186;690;232,8444444;863,7777778;N/a;
4.0;95.0;R;193;697;241,6074074;872,5407407;N/a;
4.0;90.0;R;201;705;251,6222222;882,5555556;N/a;
4.0;85.0;R;206;655;257,8814815;819,962963;N/a;
4.0;110.0;S;209;743;261,637037;930,1259259;N/a;
5.0;110.0;R;213;704;266,6444444;881,3037037;N/a;
4.0;105.0;S;216;745;270,4;932,6296296;N/a;
5.0;105.0;R;219;707;274,1555556;885,0592593;N/a;
4.0;100.0;S;224;748;280,4148148;936,3851852;N/a;
5.0;100.0;R;228;712;285,4222222;891,3185185;N/a;
4.0;95.0;S;234;752;292,9333333;941,3925926;N/a;
5.0;110.0;S;236;746;295,437037;933,8814815;N/a;
5.0;95.0;R;236;719;295,437037;900,0814815;N/a;
4.0;90.0;S;243;759;304,2;950,1555556;N/a;
6.0;110.0;R;243;795;304,2;995,2222222;N/a;
5.0;105.0;S;244;748;305,4518519;936,3851852;N/a;
5.0;90.0;R;246;723;307,9555556;905,0888889;N/a;
4.0;85.0;S;248;712;310,4592593;891,3185185;N/a;
5.0;85.0;R;251;690;314,2148148;863,7777778;N/a;
6.0;105.0;R;251;798;314,2148148;998,9777778;N/a;
5.0;100.0;S;253;752;316,7185185;941,3925926;N/a;
6.0;100.0;R;261;800;326,7333333;1001,481481;N/a;
5.0;95.0;S;264;760;330,4888889;951,4074074;N/a;
6.0;110.0;S;264;870;330,4888889;1089,111111;N/a;
6.0;95.0;R;271;805;339,2518519;1007,740741;N/a;
5.0;90.0;S;274;762;343,0074074;953,9111111;N/a;
6.0;105.0;S;274;872;343,0074074;1091,614815;N/a;
5.0;85.0;S;279;730;349,2666667;913,8518519;N/a;
6.0;90.0;R;283;812;354,2740741;1016,503704;N/a;
6.0;100.0;S;284;873;355,5259259;1092,866667;N/a;
6.0;85.0;R;284;770;355,5259259;963,9259259;N/a;
7.0;110.0;R;288;907;360,5333333;1135,42963;N/a;
6.0;95.0;S;298;875;373,0518519;1095,37037;N/a;
7.0;105.0;R;298;908;373,0518519;1136,681481;N/a;
1.0;110.0;R;301;1237;376,8074074;1548,540741;N/a;
1.0;110.0;S;301;1237;376,8074074;1548,540741;N/a;
3.0;110.0;R;301;1377;376,8074074;1723,8;N/a;
3.0;110.0;S;301;1377;376,8074074;1723,8;N/a;
6.0;85.0;S;309;843;386,8222222;1055,311111;N/a;
6.0;90.0;S;309;882;386,8222222;1104,133333;N/a;
7.0;100.0;R;309;912;386,8222222;1141,688889;N/a;
1.0;105.0;R;311;1239;389,3259259;1551,044444;N/a;
1.0;105.0;S;311;1239;389,3259259;1551,044444;N/a;
2.0;110.0;R;314;1285;393,0814815;1608,62963;N/a;
2.0;110.0;S;314;1285;393,0814815;1608,62963;N/a;
3.0;105.0;R;314;1380;393,0814815;1727,555556;N/a;
3.0;105.0;S;314;1380;393,0814815;1727,555556;N/a;
7.0;110.0;S;319;1070;399,3407407;1339,481481;N/a;
1.0;100.0;R;323;1242;404,3481481;1554,8;N/a;
1.0;100.0;S;323;1242;404,3481481;1554,8;N/a;
7.0;95.0;R;323;915;404,3481481;1145,444444;N/a;
8.0;110.0;R;324;942;405,6;1179,244444;N/a;
2.0;105.0;R;326;1286;408,1037037;1609,881481;N/a;
2.0;105.0;S;326;1286;408,1037037;1609,881481;N/a;
3.0;100.0;R;328;1385;410,6074074;1733,814815;N/a;
